Sentences,Figure_OF_Speech
My ex used to hit me with stringed instruments. If only I had known about her history of violins.,Pun
"I hate school and got caught skipping the other day. My principal said, ""Walk normal next time, you fruitcake.""",Pun
Why was it so hot in the stadium after the baseball game? All the fans left!,Pun
What does a cow say to bull? Are you always that horn-ny!,Pun
Q:  Why do manly ghosts have so much trouble dating? A:  Women can see right through them!,Pun
"To the guy who invented the number zero: ""Thanks for nothing"".",Pun
"If there was someone selling drugs in this place, weed know.",Pun
A donkey fell into a bowl of sugar. Now that's a sweet ass.,Pun
"I always wanted to marry Mrs. Right, but I didn't know her first name was ""Always"".",Pun
What did the hurricane say to the palm tree? Better hold onto your nuts because this is no ordinary blowjob.,Pun
What's the best thing to put into a pie? Your teeth!,Pun
What kind of tan did pilgrims get to the beach? Puritan.,Pun
Q: Why did the golfer wear two pairs of pants?  A: In case he got a hole in one.,Pun
"If you cross an owl and a rooster, do you get a cock that stays up all night?",Pun
Why do soccer players do so well in math? They know how to use their heads!,Pun
What is the hardest thing about being a man? His penis.,Pun
"Friends are like boobs. Some big,some small. Some real, some fake.",Pun
I got fired from Yankee candle factory because I refused to work wick ends!,Pun
"I was going to be an optometrist, but couldn't see things clearly.",Pun
What do you call cheese that is not yours? Nacho cheese!,Pun
"This morning my alarm went off, I thought it's sell-by date was tomorrow.",Pun
"I asked my friend a question while he was eating an orange, but all I got was a pithy response.",Pun
When plumbers sleep do they have pipe dreams?,Pun
I cropped my kids out of my online dating profile photos. They can find their own dates.,Pun
Why do people litter? Because they dont take the litter signs litterally.,Pun
When I told my family I wanted to do stand-up comedy all they did was laughing.,Pun
Where do sharks go on summer vacation? Finland!,Pun
"Sometimes, when I'm cruising the city in a $200K vehicle, I lean back and think, ""If the bus driver doesn't speed up I'll be late for work.""",Pun
"Me: ""Remember when I rubbed you out?"" Genie: ""Don't say it like that...""",Pun
What fruit do you eat when you are sad? Blueberries.,Pun
Why was tiger looking inside the toilet? He was looking for Pooh!,Pun
Why did the volleyball players go to the library for practice? The coach told them they'll be doing some reading today.,Pun
Why did the teacher jump into the water? She wanted to test the water!,Pun
Why do field hockey players never sweat? They have too many fans!,Pun
"She said I wanna look bomb in the party. I said don't worry, we'll have a blast.",Pun
How did two oceans or seas become friends? Because they kept waving at each other.,Pun
Why did the scarecrow win the competition? He was 'outstanding' in his field!,Pun
Why is Peter Pan always flying? He neverlands.,Pun
"I just got this sick job at the Calendar factory. Unfortunately, I still can't get a date.",Pun
"I thought I understood the meaning of ""When Pigs Fly"" but then... the swine flu.",Pun
"I watched a documentary on LSD last night, it really changed my perception.",Pun
I've never enjoyed my surprise birthday parties because all I can think about is how good my friends are at lying to my face.,Pun
What do crabs smoke? Seaweed.,Pun
When I first started dating my wife she asked me what some of my dreams were. I told her one was about a T-Rex who didn't get a job because he couldn't tie a tie. She meant goals,Pun
What kind of fish can't swim? A dead one.,Pun
"Why are there 5 syllables in the word ""monosyllabic""?",Pun
Why is a baseball game a good place to go on a hot day? Because there are lots of fans.,Pun
"I caught my neighborhood stealing my red food dye... When he was caught red handed he said ""I'm gonna dye"".",Pun
What kind of car does Jesus drive? A Christler.,Pun
What did one pencil say to the other pencil? You're looking sharp!,Pun
Why should you wary of stairs? Because they are always up to something.,Pun
Why are bad school grades like a shipwreck in the Arctic Ocean? They're both below C level!,Pun
"If you ever get cold, just stand in the corner of a room for a while. They're normally around 90 degrees.",Pun
What's the difference between a knife and a feminist? The knife has a point.,Pun
"Why are cats, bad storytellers? Because they only have one tale.",Pun
"What goes through towns, up hills, and down hills but never moves? The road!",Pun
One day we shall wake up together: me and my money.,Pun
What's a horse's favorite sport? Stable Tennis.,Pun
"Which of Santa's reindeers needs to mind his manners the most? ""Rude""olph",Pun
"If a dog was a computer, would its bark be bigger than its byte?",Pun
I used to have an open mind but my brains kept falling out.,Pun
"A man got hit in the head with a can of Coke, but he was alright because it was a soft drink.",Pun
What kind of candy is never on time? ChocoLATE!,Pun
PMS jokes aren't funny. Period.,Pun
Why did the octopus beat the shark in a fight? Because the octopus was well armed.,Pun
Why is it not good to play tennis in a court? Because you might get arrested.,Pun
What is the most dangerous thing in your freezer? Ice is.,Pun
Why don't animals play poker in Africa? Because they're cheetahs.,Pun
Bugs come in through open Windows.,Pun
How do you get a couple of fat birds into bed? Piece of cake.,Pun
"Well, just told the Starbucks barista my name is ""No War in Syria"". I know it's not much, but I hope it helps.",Pun
"Everyone has their own path, fortunately mine leads to the liquor store.",Pun
What do ghosts read? Booooks!,Pun
"What did the farmer say when his hay started blowing away? Hay, come back!",Pun
"I'd call someone pregnant ""totally fucked"".",Pun
I once dated a mime. I hope I left her with a good impression.,Pun
What's another name for the highway to hell?,Pun
The route of all evil.,Pun
"Best Summer Vacation Book Never Written: ""Where to Stay on Vacation"" by Moe Tell.",Pun
Why did the slave go to college? To pick up his master's degree.,Pun
What is an alien's favorite candy? A Mars bar!,Pun
"My son came home as I was taking his door off its hinges and asked: ""Dad what are you doing?"" I said, ""We've updated our privacy policy.""",Pun
I may not be Fred Flintstone but I can make your bed rock.,Pun
Where do ghosts play tennis? On a tennis corpse!,Pun
I should have known that my marriage was bound to be doomed when my wife choose to have her vows be read from the Necronomicom.,Pun
Q: What did the Dorito say to the other Dorito. A: I can't tell you it was to cheesy.,Pun
What did the pirate say when he found someone? I sea you!,Pun
The Bermuda Triangle got tired of warm weather. It moved to Finland. Now Santa Claus is missing.,Pun
Why do cows have hooves instead of feet? Because of the lactose.,Pun
"The other day I was singing in the shower, and I got soap in my mouth. Guess what happened then? It became a soap opera.",Pun
"I took my new car back to the dealers, complaining it only did left turns - ""drive in the opposite direction then"" he said.",Pun
A liberal is a conservative who's been arrested. A conservative is a liberal who's been mugged.,Pun
"I think it'd be cool if they made those classical nude sculptures out of timber instead of stone, wooden tit?",Pun
"Political parties are like toilet paper. Whichever side you select, you end up getting poop!",Pun
My colleague can no longer attend next weeks Innuendo Seminar so I have to fill her slot instead.,Pun
What do you call a knife in Japan? A Santoku!,Pun
The worst thing about having a ghost in your house is the douchey ghost hunters.,Pun
Why are badminton players so loud? Because they are always making a racket!,Pun
How did Superman's enemies do him in? They put him in his crypt tonite!,Pun
"Hey Dad, have you seen my sunglasses? ""No son, have you seen my glasses?""",Pun
My dad was a stalker. I want to follow him in his footsteps.,Pun
Did you hear about the female rapper who only battled while she was on her menstrual cycle? They say she had a mean flow.,Pun
"Happy birthday, Bono. I wanted to get you the perfect present, but I still haven't found what I'm looking for.",Pun
"Some species of frog can jump higher than a 3-story office building. It's because of their immensely powerful hind legs, and the fact that office buildings cannot jump.",Pun
Why did the robot go on summer vacation? He needed to recharge his batteries.,Pun
Pork and Leek... great flavor for sausages... lousy brand name for condoms.,Pun
I was going to my friend's place but accidentally walked into the wrong house. Turns out it was an orgy. Didn't see that cumming!,Pun
What's a sexoholic's favorite roller coaster? Iron Rattler.,Pun
What do you get when you mix a cheetah and a hamburger? Fastfood!,Pun
"Wow, that was embarrassing. I opened my fridge and saw my salad dressing.",Pun
Insects puns bug me.,Pun
"I can't jump over a cow, but you should check out my calves.",Pun
Why did the volleyball player cross the road? There are players on the other side.,Pun
I'm no weatherman but I know you're going to get 3 inches tonight.,Pun
Where do zombies like to go swimming? The Dead Sea.,Pun
"Girl, are you a modern day savings account because I keep investing money in you but I'm not getting much interest.",Pun
Did you hear the story about the giraffe? Forget it its too long.,Pun
Why is a bra singular and panties plural?,Pun
What do you call dog meat? Pet food.,Pun
"Give it to me! Give it to me! she yelled, ""I'm so wet, give it to me now!"" She could scream all she wanted to. I was keeping the umbrella.",Pun
What do you call a frog stuck in mud? Unhoppy.,Pun
If you are having a blind date on a glacier. Don't break the ice.,Pun
Why are spiders great tennis players? Cause they have great topspin.,Pun
I used to a fan of evolution. But then I have evolved.,Pun
Who doesn't eat on Thanksgiving? A turkey because it is always stuffed.,Pun
"Nothing is impossible. The word itself says ""I'm possible.""",Pun
What dog can't bark? A hot dog.,Pun
What do you call a mama cat? Tittycat!,Pun
What is Mozart doing right now? Decomposing.,Pun
"Marriage through the ages creates new reflexive responses, for example it was only the other night the wife panted that she was so very hot, so I turned on the airconditioner.",Pun
"What did the big chimney say to the little chimney? ""You're too young to smoke.""",Pun
My friends laughed at me when I told them I had a hot date and they said she was imaginary. Well the jokes on them – they're imaginary too.,Pun
Sex on tv can't hurt unless you fall off.,Pun
"I wanted to make a joke about criminals, but I was scared it would get stolen.",Pun
Where do fish work? The offish.,Pun
"Wanna fork? Not to-knife, but as spoon as I feel better.",Pun
I spy with my little eye nothing because I only have two normal-sized eyes.,Pun
What did one squirrel say to the other? Come around the tree and I'll show you my nuts.,Pun
The video from the ring infects people with airborne pathogens. The video went viral.,Pun
What is Whitney Houston's favorite type of coordination? Hand-eye.,Pun
Why can't you play badminton in the jungle? Because there are too many cheetahs.,Pun
What is Al Caedas favorite football team? The New York Jets.,Pun
Walruses are like Tupperware - they both like a tight seal.,Pun
"Didn't go to Church today, instead, I stayed at home and listened to REM. Guess I'm losing my religion.",Pun
Why did the belt get arrested? Because it held up a pair of pants!,Pun
What did the pig say at the beach on a hot summer's day? I'm bacon!,Pun
What's brown and runny? Usain Bolt.,Pun
"Did you hear the joke about the Liberty Bell? Yeah, it cracked me up!",Pun
"Damn girl, are you a smoke detector? Cause you're annoying and won't shut the fuck up.",Pun
I once dated a woman who uses a nightlight. What a turn off.,Pun
"I'd tell a joke about claustrophobic people, but it might be to tight for you.",Pun
What do you call a mountain where people never sleep? Mt Neverest.,Pun
What sound does a train make when it's eating?... Chew chew... Very Punny right?,Pun
If we're going to arm the teachers at least give the librarians silencers.,Pun
I wanted to be an astronaut but my parents told me the sky was the limit.,Pun
My sister asked me to bring her something hard to write on. I don't know why she became so mad. It's pretty fucking hard to write on the sand.,Pun
What part of your family can you see through? A transparent.,Pun
"Did you hear about the athlete who wore two jackets when she painted the house? The instructions on the can said: ""Put on two coats.""",Pun
I went geese hunting the other day but once they started flying I knew the game was up.,Pun
"What's the difference between a man and a woman? Don't think dirty! Only ""wo"".",Pun
"I heard that Michael Jackson loved his soda, so much so that they called him the King of Pop.",Pun
What do you call a owl that does magic tricks? Hoodini.,Pun
They call me coffee cause I grind so fine.,Pun
Where do bad gymnasts go? Behind parallel bars!,Pun
"You can't live, without, your... liver",Pun
What did Mister A say to Mister E? It's the popular mystery.,Pun
I was raped by a group of mimes. They did unspeakable things to me.,Pun
"Whenever I get on my roof to clean the gutters, I always slip and fall. Every shingle time.",Pun
"She wanted to sell me a whole bedroom set, but I just wanted one nightstand.",Pun
My hope for you is that you someday find the end of your sentence,Pun
"I'd stand in a room amongst a group of people and say ""hey do you guys want to see a joke?"" Then walk out of the room, then walk back in whilst presenting myself in a grand fashion. ""Et voila.""",Pun
Why did the prawn leave the nightclub? Because he pulled a muscle.,Pun
What do a dentist and a tennis coach have in common? They both use drills!,Pun
What did the doctor say to the alcoholic? Keep taking the Pils.,Pun
Are you from Japan? Cause I'm currently trying to get in japanties.,Pun
The early bird gets the worm but the late worm gets to live.,Pun
"The winner of the costume contest was the invisible man. He was invisible, and his wife wasn't much to look at either.",Pun
Why is a traffic light red? You would be red too if you were changing in front of people all day.,Pun
I slapped Dwayne Johnson's ass. I guess I've hit Rock Bottom.,Pun
How did the reporter kill himself? Noosepaper.,Pun
What is white when it's dirty and black when it's clean? A blackboard!,Pun
"What did the math book say to the psychologist? ""Would you like to hear my problems?""",Pun
I started a company selling landmines that look like prayer mats. Prophets are going through the roof.,Pun
"What did Spartacus do to the cannibal who ate his nagging wife? Nothing, he's gladiator.",Pun
My friend's in prison for flashing; he says he can't bare it anymore.,Pun
Do you know how to lose weight... fast.,Pun
Is Japan looking for you? Cause you're on a whale watch.,Pun
You must be some kind of weirdo to like The Doors. I guess People Are Strange.,Pun
"My brother and I were visiting our grandmother in the hospital. My brother says ""grandma I can't stand to see you like this..."" ",Pun
"My grandmother replies ""well get the hell out then!""",Pun
What kind of bees make milk? Boobies,Pun
Why didn't the skeleton want to go to school? His heart wasn't in it.,Pun
I met the man who invented the windowsill. He's a ledge.,Pun
Did you hear about the cannibal who dumped his girlfriend?,Pun
Why did the boy throw the butter out the window? To see a butterfly.,Pun
Eyelashes are supposed to prevent things from getting into your eyes but when I do have something in my eye it's always an eyelash. Eyeronic.,Pun
What is a snowman's least favorite yoga position? Downward-facing dog pee.,Pun
Why do Republicans spend so much money on bathroom fixtures? They really love the Grand Old Potty!,Pun
How do teddy bears keep their den cool in summer? They use bear conditioning!,Pun
Why was the broom late? It over swept!,Pun
"How many lights does it take to screw in a lightbulb? None, the light is already in the bulb.",Pun
"I asked my friend for a sharpened pencil, but he didn't have one. I always knew he was a little dull...",Pun
Word of the day is Legs. Now go spread the word.,Pun
I would tell you a joke about my shoe but I think I shoedn't.,Pun
My honey farmer friend has a thing for big butts. I suppose Booty is in the eye of the bee-holder.,Pun
What did the dentist said to the Sabretooth tiger? You have outstanding teeth.,Pun
"I'm in a long distance relationship, her restraining order ends tomorrow.",Pun
Why did the farmer only wear one boot to town? He heard there would be a 50% chance of snow!,Pun
Where does Napoleon keep his armies? In his sleevies.,Pun
Party host: Anyone here allergic to nuts? Because I like to rest mine on the table.,Pun
We shouldn't make fun of fat people because they already have enough on their plate.,Pun
Why did the lady wear a helmet every time she ate? She was on a crash diet!,Pun
"Had to turn the stereo off, my wife has been playing Depeche Mode all day. She just can't get enough, whilst I just enjoy the silence.",Pun
"He said ""I'm going to chop off the bottom of one of your trouser legs and put it in a library.""",Pun
"I thought ""That's a turn-up for the books.""",Pun
"He's so far in the closet, he can see Narnia.",Pun
"I just drank a monster energy drink and I'm still depressed but like, excitedly.",Pun
What do elves learn in school? The Elf-abet! ,Pun
Why can't ghost have babies? Because they have Halloweenies.,Pun
"PewdDePie, I used to be a fan but now I am a air conditioner.",Pun
What is a math teacher's favorite sum? Summer!,Pun
"I just created a new assembler for the ladies only. It is named ""Org-asm"".",Pun
What's most interesting song? My girlfriend 's fart.,Pun
Are you a Disney princess? Cuz your Cinder-hella-fine.,Pun
"When there's a will, I want to be in it.",Pun
What's the hardest thing about dating a blind woman? Getting her husband's voice just right.,Pun
"What did the jester say to the criminal at the guillotine? ""Stay calm, and do not lose your head.""",Pun
"I thought about my ex-girlfriend today, then I wiped my ads and flushed the toilet.",Pun
What is black and white and red all over? A newspaper!,Pun
A rolling stone... somebody pushed it.,Pun
What are the 2 reasons the girl broke up with her boyfriend? Because he was a cheetah and because he was lion too much to her.,Pun
"I used to be a lifeguard, but this blue kid got me fired.",Pun
The plumber told me a hole boring story about pipes.,Pun
What's the difference between a politician and a flying pig? The letter F.,Pun
Why should you not make fun of a crippled person? Because he can't stand the jokes.,Pun
What do computers eat for a snack? Microchips!,Pun
Isn't it annoying when engineering students call themselves engineers? You don't hear medical students calling themselves doctors or art students calling themselves baristas.,Pun
"What did one telephone say to another? ""You are too young to be engaged!""",Pun
What cheese would you use to entice a bear out of the woods? Camembert.,Pun
What cheese is made backwards? Edam.,Pun
Best cheese to use to disguise a horse? Marscaponie.,Pun
My patience has stretch marks.,Pun
"To all the Dads out there, Happy Father's Day... you mother fuckers.",Pun
"I would tell a swimming joke, but I think it's too watered-down to be funny.",Pun
I have given up on my stand up comedy routines. Everybody just keeps laughing at me.,Pun
What did the Zero say to the Eight? Nice belt!,Pun
Why does the alcoholic Avon lady walk funny? Because her lips stick.,Pun
What's better than roses on your piano? Tulips on your organ.,Pun
"I'm not a Nazi I'm just asking if Jew mad, cause I'm führerious!",Pun
I once hit a bat with a bat.,Pun
Is the last thing that Tickle Me Elmo gets before leaving the factory two test tickles?,Pun
"I went to a party and met apple there. I asked him to buy me a vodka, but Damn! He gave me a fruit punch.",Pun
My girlfriend just dumped me for talking too much about video games. What a ridiculous thing to fallout 4.,Pun
Jokes about unemployed people are not funny. They just don't work.,Pun
"Why do people ask me if I'm ""hiding"", if I was hiding you wouldn't see me!",Pun
What do you call a dead Magician? A ABRACADAVA.,Pun
The Italian boxing team boycotted the Olympics when they heard it was going to be one on one.,Pun
Why did the snowman's daughter become a stripper? Because he was so cold to her.,Pun
"My wife had her period at a Manchester United game, and all I got was this bloody t-shirt.",Pun
Math puns are the first sine of madness!,Pun
"English is weird. It can be understood through tough thorough thought, though.",Pun
What do you call a black baby pig? A niglett.,Pun
"USA's been so good at the Olympics, it's trumped the rest!",Pun
Why do people wear shamrocks on St. Patrick's Day? Regular rocks are too heavy.,Pun
"Lately I've been trying to touch my toes, which I don't find so complicated, but my knees just can't get it straight.",Pun
A Roman fighter consumed his wife. He said he was glad 'e ate 'er...,Pun
Your lips are the whitest I've come across.,Pun
"If I was addicted to masturbation, and then became addicted to sex, would it be safe to say that my addiction got out of hand?",Pun
What happened when an icicle landed on the snowman's head? It knocked him out cold.,Pun
Exaggerations went up by a million percent last year.,Pun
What do you call Dinner and Breakfast? Dickfeast!,Pun
Murdered for immortality. Received life sentence.,Pun
Why did the librarian get kicked off the plane? Because it was overbooked.,Pun
Did you hear about the man who was accidentally buried alive? It was a grave mistake.,Pun
"Two blondes were driving to Disneyland. The sign said, ""Disneyland Left"". So they started crying and went home.",Pun
My girlfriend told me she wanted to be treated like a princess. So I put her in the back of a Mercedes and drove into a wall.,Pun
"Did you hear they banned fans from doing ""The Wave"" at all sports events? Too many blondes were drowning.",Pun
"At school I graduated second to a lamp, he was too bright for me.",Pun
A waist is a terrible thing to mind.,Pun
How does broccoli use a cellphone? He cauliflower.,Pun
Was invited to a birthday party last evening but didn't have a Blast. Hardly any Bombs!,Pun
"What's the difference between a sidewalk, a drug dealer, and a prostitute? Sidewalks crack doesn't leave an odor!",Pun
Why does Santa Claus have such a big sack? He only comes once a year.,Pun
Hear about the new drug for lesbians? Trycocksagain.,Pun
Just stayed a night in the YMCA... I don't want to make a song and dance of it.,Pun
"I do not know why some people don't finish their sentences, like it's really annoying...",Pun
What does a hockey player and a magician have in common? Both do hat tricks!,Pun
"What did Donald Trump say to Dora The Explorer while playing Uno? ""Ok, you tortilla stop jumping and stealing all the green cards.""",Pun
What did one boob say to the other boob? You are my breast friend!,Pun
"I swear to drunk I'm not God, but seriously, stay in drugs, eat school, and don't do vegetables.",Pun
What do you call a snowman orgy? A snowball fight.,Pun
What do you call a bird at a party? A party fowl.,Pun
"I would tell a history joke, but they're too old fashioned.",Pun
Orion's Belt is a big waist of space. Terrible joke. Only three stars.,Pun
Why can't blind people eat fish? Because it's sea food.,Pun
What is the cheapest meat you can buy? Deer balls. There under a buck.,Pun
NASA is sending traditionalist Christians to the red planet... Amish on to Mars.,Pun
Why do birds fly south in the Fall? Because it's too far to walk.,Pun
What did the Asian parent say during the DNA test? That's Yu!,Pun
Black magic.... It doesn't work.,Pun
"Wife to husband: ""I'm pregnant!"" ",Pun
"Husband: ""You're kidding me!""",Pun
I don't believe in myths like the one that states you have a brain.,Pun
Tried to make a joke about putting Marijuana in the Dryer... All I got was Tumbleweed.,Pun
What would you get if you crossed Christmas with St. Patrick's Day? St. O'Claus!,Pun
Why do dogs make good sailors? They know their knots.,Pun
What do Michelangelo and Kurt Cobain have in common? They both used their brains to paint the ceiling.,Pun
Why did the lady snowman divorce her husband? She found out he was going to a snow blower.,Pun
What do you call a 5-gallon drum stuffed full of white people? A cracker barrel.,Pun
Ever have sex while camping? Take my word when I say it's fucking intents.,Pun
What did the Mexican man say when his house fell on him? Get off me homes.,Pun
Why is Justing Bieber like a shotgun? Give him a cock and he will blow!,Pun
Why did the summer school teacher wear sunglasses? Because her class was so bright!,Pun
What day does an Easter egg hate the most? Fry-days.,Pun
How do you get Pikachu onto the bus? You Pokemon.,Pun
What's the difference between an Aussie and a Yoghurt? A Yoghurt's got culture!,Pun
My girlfriend broke up with me because I stole her wheelchair.  I knew she'd come crawling back to me.,Pun
People with diarrhea don't have their shit together.,Pun
I called in sick this morning on account of diarrhea. My boss told me to get my shit together.,Pun
Why do Eskimos build Igloos with a hole out front? So you can see Inuit.,Pun
"My mate broke his left arm and left leg, but he was alright.",Pun
I like to have a Frappuccino each morning with my Breakfast... I'm a Cereal Frapist.,Pun
Why was the blonde so disappointed when she got her license? She had gotten an F in sex!,Pun
"Seminar ""How to avoid frauds"" is canceled. Tickets are non-refundable.",Pun
"My boss touched me inappropriately at work today. It's okay though, I'm self-employed.",Pun
Why did the downhill skier take off all his clothes? Because he wanted to get windblown.,Pun
Trump invited Putin to Washington because it's customary to take a tour of your new home before you move in.,Pun
My friend stopped by to tell me he had just been diagnosed as Dyslexic. Said he was going home to write it in his dairy.,Pun
Why is a blonde like a railway track? She gets laid all over the country.,Pun
Oh no! Help! I'm under a tack!,Pun
What is a runner's favourite subject in school? Jog-raphy!,Pun
I've got a new anorexic girlfriend. It's not going too well though. I'm just seeing less and less of her...,Pun
A magician was driving down the road and turned into a shopping mall.,Pun
What's a crocodile's favorite shoe? A Crocs.,Pun
What did the boy cat say to the girl cat on Valentine's Day? You're purrr-fect for me!,Pun
I drink straight out a of the wine bottle while cooking. I think that's what they mean by reducing it.,Pun
"Why do I always know where to go when I am canoeing? Because I ""canoe"" it.",Pun
Did you hear about the bonfire? I heard it was lit.,Pun
Ice-T was diagnosed with Parkinsons. Now he's using the stage name Chocolate Shake.,Pun
Did you hear about the tailor who shredded all the neckwear? His company severed all ties.,Pun
Relationship between men and women is psychological. She is psycho and he is logical.,Pun
Did you hear about the gay guy who got kicked off the golf course? He was playing with too many strokes.,Pun
I once crashed into a cow pasture. I was in for a beef of trouble.,Pun
No checks (Czechs are welcome).,Pun
"Have you ever tried camping sex? No, well its fucking in tents!",Pun
What sound does a bouncing plane make? Boeing.,Pun
I thought it was my birthday cake but it was just the shed on fire.,Pun
What cake makes you feel uncomfortable? Stomachache.,Pun
"Kyle: ""Dude, why is my netflix DVD out in the snow?"" ",Pun
"Ben: ""Well, I heard the coolest thing on the internet right now is netflix and CHILL!""",Pun
The girls in my local strip club are so good with computers they do lap top dancing.,Pun
Why did the chicken cross the Möbius strip? To get to the same side!,Pun
My take home pay won't even get me home.,Pun
You know those people using bibles on their phones? They are using phony bibles.,Pun
Why did the chink fail his blood test? He didn't study!,Pun
They are doing a sequel to Finding Dory where she discovers she has cancer and searches for a cure. It's called Finding Chemo.,Pun
"A lorry-load of tortoises crashed into a trainload of terrapins, I thought ""That's a turtle disaster"".",Pun
Someone broke into my house and stole my external hard drive; they really got my backup.,Pun
Where do snowmen go to donate their sperm? The snowbank.,Pun
I need some band-aids I'm getting cut from all this working out.,Pun
What's the only drink size they allow in North Korea? A supreme liter.,Pun
"What's the origin of the word ""Boob""? The ""B"" is the aerial view, the ""oo"" is the front view, the ""b"" is the side view.",Pun
What do perverted leprechauns drink on St. Patricks Day? Mount & Do.,Pun
Where do cows go on their summer vacation? Moo York.,Pun
How do you get off a non-stop flight?,Pun
I hope you like beef because we will eat that when we meat.,Pun
Why did the snowman take his pants off? Because he saw the snowblower coming.,Pun
Why did the female snowman delete Tinder? She was getting too many snow cone pics.,Pun
My friend told me he had a sister. I asked if she was hot and he said she was 8. That wasn't my question.,Pun
"If my puns are cheesy, then they would go well with crackers.",Pun
"Why are Vegan women, hypocrites? Cause they love to bone and eat meat!",Pun
Beauty is in the eye of the beer holder.,Pun
Did you hear about the 2 gay men that got into a fight in a bar? They were ejected for exchanging blows.,Pun
Why do gay men fake orgasms? Because they will be in deep shit if they don't!,Pun
I went to school without my shoes today. I got shoe-spended for a week.,Pun
"I hate going on the road, it Drives me crazy.",Pun
"She asked if I had my shit together yet? I said of course, cause no one wants a man with Diarrhea.",Pun
"What medical condition does a person have if the shoot all the bullets out the mag, then tries to shoot the enemy and forgets he shoot all the bullets. Ammoneisa.",Pun
What summer vacation destination makes a pet bird sing for joy? The Canary Islands!,Pun
What do you call a mexican rolling in sand? A churro.,Pun
What's the difference between a Jew and a bullet? The bullet gets out of the chamber.,Pun
There is 1 thing 2 do 3 words 4 you I LOVE YOU.,Pun
What do you buy a friend graduating from Law School? A law-botomy.,Pun
War does not determine who is right – only who is left.,Pun
Easy to Easy is not easy.,Pun
"The other day I stopped to pick buttercups, what buttocks were doing on the floor I don't know.",Pun
Why did the chicken cross the road? Because KFC was on the other side.,Pun
Swallowing your babies is fatal.,Pun
"Just finished building the deepest well in England. Got the plans wrong way round, started work on the tallest lighthouse.",Pun
I've seen a turkey but I've never been to Turkey.,Pun
"There was an outbreak of food poisoning among the world leaders at the recent summit. During the food preparation, they feared what the Russians Putin May Merkel Trump.",Pun
Other people don't like my queue jumping. Especially when I use my motorcycle.,Pun
"Did you hear about the monkey with a steak on his head, thought he was a grills?",Pun
What do you do when you find out Viagra isn't working for you? You go Cialis!,Pun
"Sis wanted a cheese, I gave her D camera and told her to say cheese!",Pun
What's the difference between batman and a black man? Batman can go into a store without robin.,Pun
The next tropical cyclone should be named after you. It would be less fatal than your face.,Pun
Women were born to WOO MEN but why do they WOE MEN?,Pun
What do you call a dictionary using meth? Addictionary.,Pun
What do politicians and porn stars have most in common? They're experts at switching positions in front of camera.,Pun
Sperm is white and pee is yellow so a man can tell if he's coming or going.,Pun
What is a snowman's favorite sex position? Sled doggy-style.,Pun
Why couldn't the toilet paper cross the road? Because it got stuck in a crack.,Pun
Why did a woman include a bag of meth with her ATM transaction? She thought it would speed up her deposit!,Pun
Two cows in a field. Which one is on holiday? The one with the week cave.,Pun
Why did the prostitute retire? She screwed up!,Pun
"Just found out an acquaintance is a drug dealer, would never have guessed, seems like a nice, funny guy. He always cracked me up.",Pun
"It's better to have a bottle in front of me, than a frontal lobotomy.",Pun
Why are most politicans in the closet or gay? Because they can only mandate.,Pun
I refused to believe I was gay and dyslexics. I was in Daniel.,Pun
"If you wrote essay about chinese food,what would it call? Dogcument.",Pun
Why do we laugh at female presidential candidates? Because they're Hillary-ous!,Pun
Q: Why don't blacks fuck Afghans? A: Because they are going to make you blow.,Pun
Did you hear about the homosexual electron? Went around blowing fuses.,Pun
What do you call a gay dinosaur? Brontosoarass.,Pun
Your mama got a eye in her ass talking about I see that shit.,Pun
"If you fuck "" P"" it would change to "" B "".",Pun
"A man is walking through a graveyard when he sees another man squatting next to a grave. ""Morning!"" he calls out. ""No, just taking a shit!""",Pun
"I called the Child Abuse Hotline. A kid answered, called me a fat cunt, and told me to fuck off.",Pun
Firefighters in London were called to assist hospital staff when a man's genital became trapped in a spanner. A hospital spokesman said the patient took a turn for the worse.,Pun
I'm Muslim. In my last stand up I bombed. CIA is after me now.,Pun
What is the difference between acne and a catholic priest? Acne usually comes on a boys face after he turns 12.,Pun
"My girlfriend just admitted she used to be a Christian, so I broke up with her. It might seem judgemental, but I have only known her since she was Christine.",Pun
What does the Bermuda Triangle and blondes have in common? They've both swallowed a lot of seamen.,Pun
What do you get when a black person and a samoan have kids? Sum mo niggaz.,Pun
How can you tell if a novel is about a homosexual? The hero always gets his man in the end.,Pun
What do women and modern computers have in common? Neither one will accept a 3 and a half inch floppy.,Pun
I'm on a whiskey diet. I've lost three days already.,Pun
Did you hear about the guy who got killed and cut into pieces and stuffed into a zipper bag? His lips were sealed.,Pun
What's the difference between Bill Clinton and a carpenter? A carpenter can cover up the holes he screws.,Pun
How did Jesus get in such good shape? Crossfit.,Pun
"I couldn't join the KKK if I wanted to, my bloodline isn't pure enough. Turns out my parents weren't even related.",Pun
Anal sex does not make one's day it makes one's hole weak,Pun
I was going to ask my wife for anal... but fuck it.,Pun
Why was the guitar teacher arrested? For fingering a minor.,Pun
How much semen does a gay guy have? A butt load.,Pun
I lost my weed in a series of small fires.,Pun
"My girlfriend told me she was going to get pregnant and if wouldn't do it, she was going to the sperm bank! Boy, I gave her a mouth full!",Pun
How did they know Princess Diana didn't have dandruff? Because they found her head and shoulders in the glove box.,Pun
What do gay men call hemorrhoids? Speed Bumps.,Pun
